naics,naics_description
512290,Other Sound Recording Industries
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing
561311,Employment Placement Agencies
561599,All Other Travel Arrangement and Reservation Services
711110,Theater Companies and Dinner Theaters
711120,Dance Companies
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities"
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures"
711510,"Independent Artists, Writers, and Performers"
711130,Musical Groups and Artists
711190,Other Performing Arts Companies
711510,"Independent Artists, Writers, and Performers"
713950,Bowling Centers
711211,Sports Teams and Clubs 
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities"
711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures"
711212,Racetracks
711219,Other Spectator Sports
713940,Fitness and Recreational Sports Centers
713910,Golf Courses and Country Clubs
713120,Amusement Arcades
713290,Other Gambling Industries
713990,All Other Amusement and Recreation Industries
713110,Amusement and Theme Parks
481219,Other Nonscheduled Air Transportation
488119,Other Airport Operations
713910,Golf Courses and Country Clubs
713940,Fitness and Recreational Sports Centers
713990,All Other Amusement and Recreation Industries
487110,"Scenic and Sightseeing Transportation, Land"
487210,"Scenic and Sightseeing Transportation, Water"
487990,"Scenic and Sightseeing Transportation, Other"
532284,Recreational Goods Rental
561599,All Other Travel Arrangement and Reservation Services
611620,Sports and Recreation Instruction
611699,All Other Miscellaneous Schools and Instruction
711190,Other Performing Arts Companies
711219,Other Spectator Sports
711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities"
712190,Nature Parks and Other Similar Institutions
713210,Casinos (except Casino Hotels)
713290,Other Gambling Industries
713920,Skiing Facilities
713940,Fitness and Recreational Sports Centers
713990,All Other Amusement and Recreation Industries
812990,All Other Personal Services
621111,Offices of Physicians (except Mental Health Specialists)
621112,"Offices of Physicians, Mental Health Specialists"
621491,HMO Medical Centers 
621493,Freestanding Ambulatory Surgical and Emergency Centers
621210,Offices of Dentists
621111,Offices of Physicians (except Mental Health Specialists)
621112,"Offices of Physicians, Mental Health Specialists"
621310,Offices of Chiropractors
621320,Offices of Optometrists
621391,Offices of Podiatrists
621330,Offices of Mental Health Practitioners (except Physicians)
621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists"
621399,Offices of All Other Miscellaneous Health Practitioners
623110,Nursing Care Facilities (Skilled Nursing Facilities)
623210,Residential Intellectual and Developmental Disability Facilities
623311,Continuing Care Retirement Communities
623110,Nursing Care Facilities (Skilled Nursing Facilities)
623210,Residential Intellectual and Developmental Disability Facilities
623311,Continuing Care Retirement Communities
623110,Nursing Care Facilities (Skilled Nursing Facilities)
623210,Residential Intellectual and Developmental Disability Facilities
623311,Continuing Care Retirement Communities
622110,General Medical and Surgical Hospitals
622210,Psychiatric and Substance Abuse Hospitals
622110,General Medical and Surgical Hospitals
622210,Psychiatric and Substance Abuse Hospitals
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals
621511,Medical Laboratories
621512,Diagnostic Imaging Centers
339116,Dental Laboratories
621610,Home Health Care Services
621492,Kidney Dialysis Centers
621399,Offices of All Other Miscellaneous Health Practitioners
621410,Family Planning Centers
621420,Outpatient Mental Health and Substance Abuse Centers
621498,All Other Outpatient Care Centers
541430,Graphic Design Services
541922,Commercial Photography 
621410,Family Planning Centers
621991,Blood and Organ Banks
621999,All Other Miscellaneous Ambulatory Health Care Services
541110,Offices of Lawyers
611110,Elementary and Secondary Schools
611310,"Colleges, Universities, and Professional Schools"
611210,Junior Colleges
519120,Libraries and Archives
611420,Computer Training
611519,Other Technical and Trade Schools
611410,Business and Secretarial Schools
611512,Flight Training
611513,Apprenticeship Training
611519,Other Technical and Trade Schools
611430,Professional and Management Development Training
611512,Flight Training
611519,Other Technical and Trade Schools
611610,Fine Arts Schools
611620,Sports and Recreation Instruction
611630,Language Schools
611691,Exam Preparation and Tutoring
611692,Automobile Driving Schools
611699,All Other Miscellaneous Schools and Instruction
611710,Educational Support Services
624110,Child and Youth Services
624120,Services for the Elderly and Persons with Disabilities
624190,Other Individual and Family Services
624210,Community Food Services
624221,Temporary Shelters
624229,Other Community Housing Services
624230,Emergency and Other Relief Services
922150,Parole Offices and Probation Offices
624310,Vocational Rehabilitation Services
624410,Child Day Care Services
623210,Residential Intellectual and Developmental Disability Facilities
623220,Residential Mental Health and Substance Abuse Facilities
623312,Assisted Living Facilities for the Elderly
623990,Other Residential Care Facilities
813212,Voluntary Health Organizations
813219,Other Grantmaking and Giving Services
813311,Human Rights Organizations
813312,"Environment, Conservation and Wildlife Organizations"
813319,Other Social Advocacy Organizations
712110,Museums 
712120,Historical Sites
712130,Zoos and Botanical Gardens
712190,Nature Parks and Other Similar Institutions
813910,Business Associations
813920,Professional Organizations
813930,Labor Unions and Similar Labor Organizations
813319,Other Social Advocacy Organizations
813410,Civic and Social Organizations
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)"
921150,American Indian and Alaska Native Tribal Governments
813940,Political Organizations
813110,Religious Organizations
561599,All Other Travel Arrangement and Reservation Services
813312,"Environment, Conservation and Wildlife Organizations"
813410,Civic and Social Organizations
813910,Business Associations
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)"
541330,Engineering Services
541310,Architectural Services
541360,Geophysical Surveying and Mapping Services
541370,Surveying and Mapping (except Geophysical) Services
541211,Offices of Certified Public Accountants
541214,Payroll Services
541219,Other Accounting Services
541713,Research and Development in Biotechnology (except Nanobiotechnology)
541714,Research and Development in Biotechnology (except Nanobiotechnology)
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
541720,Research and Development in the Social Sciences and Humanities
541910,Marketing Research and Public Opinion Polling
541713,Research and Development in Biotechnology (except Nanobiotechnology) 
541714,Research and Development in Biotechnology (except Nanobiotechnology)
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
541720,Research and Development in the Social Sciences and Humanities
541380,Testing Laboratories
541940,Veterinary Services
236115,New Single-Family Housing Construction (except For-Sale Builders)
236116,New Multifamily Housing Construction (except For-Sale Builders)
236118,Residential Remodelers
236210,Industrial Building Construction
236220,Commercial and Institutional Building Construction
237110,Water and Sewer Line and Related Structures Construction
237120,Oil and Gas Pipeline and Related Structures Construction
237130,Power and Communication Line and Related Structures Construction
237310,"Highway, Street, and Bridge Construction"
237990,Other Heavy and Civil Engineering Construction
561110,Office Administrative Services
541611,Administrative Management and General Management Consulting Services
541612,Human Resources Consulting Services
541613,Marketing Consulting Services
541614,"Process, Physical Distribution, and Logistics Consulting Services"
561312,Executive Search Services
541820,Public Relations Agencies
561210,Facilities Support Services
541320,Landscape Architectural Services
541330,Engineering Services
541618,Other Management Consulting Services
541690,Other Scientific and Technical Consulting Services
611710,Educational Support Services
814110,Private Households
512230,Music Publishers
512250,Record Production and Distribution
519130,Internet Publishing and Broadcasting and Web Search Portals
519130,Internet Publishing and Broadcasting and Web Search Portals
541612,Human Resources Consulting Services
541620,Environmental Consulting Services
541690,Other Scientific and Technical Consulting Services
541990,"All Other Professional, Scientific, and Technical Services"
561312,Executive Search Services
711510,"Independent Artists, Writers, and Performers"
921110,Executive Offices
921120,Legislative Bodies
921140,"Executive and Legislative Offices, Combined"
921190,Other General Government Support
922110,Courts
922120,Police Protection
922130,Legal Counsel and Prosecution
922140,Correctional Institutions
922160,Fire Protection
922190,"Other Justice, Public Order, and Safety Activities"
921130,Public Finance Activities
923110,Administration of Education Programs
923120,Administration of Public Health Programs
923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)"
923140,Administration of Veterans' Affairs
924110,Administration of Air and Water Resource and Solid Waste Management Programs
924120,Administration of Conservation Programs
925110,Administration of Housing Programs
925120,Administration of Urban Planning and Community and Rural Development
926110,Administration of General Economic Programs
488111,Air Traffic Control 
926120,Regulation and Administration of Transportation Programs
926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities"
926140,Regulation of Agricultural Marketing and Commodities
926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors"
927110,Space Research and Technology
928110,National Security
928120,International Affairs
112130,Dual-Purpose Cattle Ranching and Farming
541120,Offices of Notaries
551114,"Corporate, Subsidiary, and Regional Managing Offices"
